FTIR,Vehicle Registartion date ,Model,Subject (English),Mileage - Using Time,FTIR Report Date,Date of Incident
FTIR-11705,2-Jan-20,XL6,VEHICLE REPORTED TO WORKSHOP AUTOSTOP LIGHT GLOWING WE HAVE CHECKED AND FOUND AUTOSTOP LIGHT GLOWING AND AUTO STOP NOT WORKING AS PER DIANGNOSTIC FOUND DTC CODE P1372 AS PER SERVICE MANUAL AND AS PER DIAGNOSTICS FOUND AUXIL,75993,3/27/2025,3/27/2025
FTIR-11706,26-May-20,ERTIGA,Battery getting discharged Engine not starting due to mgu unit,41941,2/19/2025,2/19/2025
FTIR-11712,7-Aug-23,SWIFT,MIL LIGHT GLOW AND AC NOT WORKING DUE TO ECM DIFFECTIVE,42234,2/16/2025,2/16/2025
FTIR-11717,44168,BALENO,ABS steering and hand brake malfuction light glowing continuosly inspected and found defctive ABS Actuator assy,47755,3/8/2025,3/8/2025
FTIR-11719,30-Oct-24,FRONX,VEHICLE NOT STARTING SOMETIME BATTERY CELL WEAK CHECK WITH TESTER REMARKS COMING TO REPLACE BATTERY SEND TO VENDOR EXIDE FOR FURTHER DIAGNOSIS,2120,3/1/2025,3/1/2025
FTIR-11758,30-Mar-23,GRAND,VEHICLE NOT STARTING SOMETIME BATTERY CELL WEAK CHECK WITH TESTER REMARKS COMING TO REPLACE BATTERY SEND TO VENDOR EXIDE FOR FURTHER DIAGNOSIS,24821,3/22/2025,3/21/2025
FTIR-11762,21-Sep-19,ERTIGA,vehicle not starting,38600,3/5/2025,3/5/2025
FTIR-11764,24-Sep-24,ERTIGA,VEHICLE NOT STARTING SOMETIME BATTERY CELL WEAK CHECK WITH TESTER REMARKS COMING TO REPLACE BATTERY SEND TO VENDOR EXIDE FOR FURTHER DIAGNOSIS,37634,3/23/2025,3/23/2025
FTIR-11795,24-Oct-19,XL6,Vehicle not starting sub battery getting drained due to MGU internal failure,23855,2/28/2025,2/28/2025
FTIR-11801,17-Aug-22,SWIFT,ABS BRAKE WARNING LAMP GLOWING AFTER ENGINE START AND RUNNING AND IDLING ABS MODULE DEFECT REPLACED ABS MODULE PROBLEM SOLVED,32376,3/21/2025,3/21/2025
FTIR-11803,11-Dec-20,ERTIGA,IF THE CAR IS STOPPED FOR 3 DAYS BATTERY GETTING DISCHARGED DEFFECTIVE PART MGU ASSY,26646,3/7/2025,3/7/2025
FTIR-11806,23-Aug-21,ERTIGA,VEHICLE NOT STARTING DUE TO M G UNIT NOT WORKING,30273,2/27/2025,2/27/2025
FTIR-11844,18-Jan-24,ERTIGA,A STOP LIGHT BILINKINGAFTER CHECKING BY SDT WE GOT FOUND THE CODE P1BB2 DEFECTING LITHIUM ION BATTERY,8775,2/5/2025,2/5/2025
FTIR-11850,18-Feb-21,BALENO,Vehicle reporting to workshop warning light blinking we checked and observed malfunction light parking brake ABS light Steering wheel light warning lights blinking check DTC found U0121 P0500 C1161 and U012187 Due to ABS,29612,4/21/2025,4/21/2025
FTIR-11864,9-Feb-22,WAGONR,Some time vehicle not starting due to faulty starter assy,19084,3/18/2025,3/18/2025
FTIR-11867,11-Jul-23,INVICTO,Engine not starting while engine starting time we check and found lead acid battery weak,9917,2/19/2025,2/19/2025
FTIR-11877,45183,ERTIGA,engine not starting battery check,39490,3/12/2025,3/12/2025
FTIR-11913,9-May-22,BALENO,CAMERA NOT WORKING,76692,4/12/2025,4/12/2025
FTIR-11914,5-Feb-25,GRAND,ENGINE NOT STARTING BATTERY,1786,3/10/2025,3/10/2025
FTIR-11920,12-Apr-22,BALENO,360 DEGREE CAMERA NOT WORKING,94959,3/4/2025,3/4/2025
FTIR-11923,28-Aug-20,ALTO,complaint regarding reverse parking sernsor not working defective part is CONTROLLER ASSYAPARK SNSR,50684,3/26/2025,3/26/2025
FTIR-11924,21-Oct-19,XL6,ENGINE NOT STARTING VEHICLE IDEALLY STOPPED THREE TO FOUR DAYS DUE TO MGU ASSY DEFECTED,54932,4/1/2025,4/1/2025
FTIR-11952,30-Dec-17,SWIFT,engine not starting,250055,3/19/2025,3/19/2025
FTIR-11965,24-Dec-22,GRAND,BLUETOOTH NOT WORKING DEFECTIVE PART UNIT ASSY DISPLAY AUDIO,25293,4/25/2025,4/25/2025
FTIR-11966,29-Nov-21,ALTO,Reverse Alarm Not Working And Always Beeping Due To The Defect Of Controller Assy Park Snsr And Both Sensor Assy Park,32235,3/12/2025,3/12/2025
FTIR-11975,30-Dec-23,SWIFT,Engine not starting battery issue,24801,3/14/2025,3/14/2025
FTIR-11978,0,BALENO,ENGINE NOT STARTING,5,4/26/2025,4/26/2025
FTIR-11980,28-Dec-22,XL6,MGU BATARY NOT WORKING,17760,4/25/2025,4/25/2025
FTIR-12008,17-Jan-25,FRONX,VEHICLE NOT STARTING DUE TO PRIMERY BATTERY,870,2/20/2025,2/20/2025
FTIR-12028,30-Sep-21,VITARA,battery getting discharge intermittently is due to the compaint of MGUASSY,29993,3/3/2025,3/3/2025
FTIR-12059,26-Mar-24,BALENO,this vehicle reporte for key and push button not working properly we have checked as per manual and discus with technicla team RO office he told you can replace the BCM so we have replace the bcm and vehicle now ok,4203,3/6/2025,3/6/2025
FTIR-12077,17-Dec-20,ERTIGA,ENGINE NOT STARTING AND BATTERY CURRENT DROPPAGE DUE TO FAULTY MGU ASSY,41488,2/19/2025,2/19/2025
FTIR-12088,15-Nov-24,BALENO,VEHICLE NOT STARTING DUE TO BATTERY ASSY DEFECTIVE,3794,2/22/2025,2/22/2025
FTIR-12113,,SWIFT,wireless charger not working,3,3/6/2025,3/6/2025
FTIR-12120,43889,ERTIGA,Auto stop warning lamp glowing at running due to the defect of MGU assy,42646,2/17/2025,2/17/2025
FTIR-12121,25-Jan-23,WAGONR,ENGINE NOT STARTING DUE TO INTENAL DEFECT IN BATTERY,10919,2/20/2025,2/20/2025
FTIR-12135,12-May-23,GRAND,VEHICLE NOT STARTING,29000,4/28/2025,4/28/2025
FTIR-12136,26-Feb-21,ERTIGA,Vehicle received with the complaint of vehicle not starting intermediately and battery getting discharged due to defect of MGU assy,45963,2/19/2025,2/19/2025
FTIR-12160,28-Feb-23,XL6,360 CAMERA NOT WORKING FOUND CAMERA CONTROLER MODULE DEFECTIVE,33570,2/13/2025,2/13/2025
FTIR-12166,19-Jul-21,WAGONR,ENGINE NOT STARTING AND ECM FAULTY,92333,2/5/2025,2/5/2025
FTIR-12170,28-Jun-24,GRAND,Vehicle not starting issue,37671,3/31/2025,3/31/2025
FTIR-12240,30-Nov-24,GRAND,URBAN CRUISER HYRYDER (FG2312A) VEHICLE CENTER LOCK AND IGNITION NOT WORKING WHILE OPERATING BY IMOBILIZER KEY DUE TO DEFECTIVE BCM,124,3/19/2025,1/27/2025
FTIR-12256,30-Nov-24,SWIFT,WIRELESS CHARGER NOT WORKING,4562,4/22/2025,4/22/2025
FTIR-12293,26-Sep-20,ERTIGA,ENGINE NOT STARTING AND BATTERY GETTING DISCHARGE DUE TO DEFFECTIVE MGU ASSY,45363,3/8/2025,3/8/2025
FTIR-12316,24-Mar-23,ERTIGA,A off Light Glowing and SHVS not working Vehicle Checked found Lithium ION Battery Found Defective,27753,3/11/2025,3/11/2025
FTIR-12335,23-Jul-21,VITARA,LITHIUM ION BATTERY NOT WORKING PROBLEM AND CODE P137A AND P1361 AND P1379,38853,3/21/2025,3/21/2025
FTIR-12336,31-Dec-23,FRONX,Rear camera model not working,26318,3/29/2025,3/29/2025
FTIR-12356,9-Dec-22,BALENO,abs warning lamp glowing and Parcking brake warning abs actuator assy is defective,6933,2/23/2025,2/22/2025
FTIR-12359,44146,WAGONR,MIL LIGHT GLOWING DUE TO DTC P0616 BCM NOT WORKING PROPERLY,32240,2/19/2025,2/18/2025
FTIR-12374,31-Dec-20,VITARA,INDICATOR NOT WORKING DUE TO THE DEFECT OF CONTROLLER ASSY BODY ELEC,18677,4/1/2025,4/1/2025
FTIR-12382,26-Sep-20,ERTIGA,Battery getting discharged and vehicle not starting due to a defective MGU ASSY,60967,2/26/2025,2/26/2025
FTIR-12385,31-Dec-24,GRAND,I PHONE WIRELESS CHARGER NOT WORKING,867,2/17/2025,2/17/2025
